UniqueAccession,Climate_relationship,Actual_Extreme_Event,DistalEvent_Type,DistalEvent_EventName,ProximateEvent_Type,ProximateEvent_Duration,ProximateEvent_SpatialExtent,DistalEvent_ReturnTime,Latitude (decimal degrees),Longitude (decimal degrees),Continent/Ocean,Country,ProximateEvent_MonthYearStart (MMYYYY),Type_system ,System_Name,Sampling_MonthYearStart (MMYYYY),Sampling_Duration_Before,Sampling_Duration_During,Sampling_Duration_After,Continuous Monitoring Prior,SamplingUnit_SpatialExtent,ReplicateSamples,Study_SpatialExtent,Extreme_Definition,"NOTE: AT THIS POINT YOU SHOULD CONSIDER ADDING MULTIPLE ROWS FOR A STUDY IF THE AUTHORS FOCUSED ON MORE THAN ONE BIOLOGICAL, CHEMICAL, OR PHYSICAL RESPONSE",BiologicalResponseMeasured,BiologicalResponse_OrganismalGroup,BiologicalResponse_TrophicLevel,BiologicalResponse_Direction,BiologicalResponse_EffectSize,BiologicalResponse_Significance,BiologicalResponse_RawData_PublicallyAvailable,PhysicalResponseCategory,PhysicalResponseMeasured,PhysicalResponse_ParameterMeasured,PhysicalResponse_Direction,PhysicalResponse_EffectSize,PhysicalResponse_Significance,PhysicalResponse_RawData_PublicallyAvailable,ChemicalResponse_Category,ChemicalResponse_Measured,ChemicalResponse_ElementMaterial_Measured,ChemicalResponse_Direction,ChemicalResponse_EffectSize,ChemicalResponse_Significance,ChemicalResponse_RawData_PublicallyAvailable,Comment,second reader,Exclude
19,N,Y,Drought,,Drought,months,Regional/Continent,undefined,30.366795,-89.720961,N. America,USA,2007,stream/river,Pearl River,11988,months,months,months,Y,1-10 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,not sig,,water,river flow,discharge,no response,no response,no response,N,,,,,,,,,"Did you mean for this discharge entry to line up with Hurricane Katrina, the row below? Wouldn't it be an extreme spike in discharge?",
19,N,Y,Cyclone/Typhoon,"Hurricane Katrina, Rita",Flood,weeks,Regional/Continent,undefined,30.366795,-89.720961,N. America,USA,2005,stream/river,Pearl River,11988,months,months,months,Y,1-10 sq m,N,>1000 sq m,No - extreme event mentioned but not defined,,species richness,fish,tertiary consumers,decrease,large - non-sig,not sig,N,,,,,,,,,,,,,,,,,
20,Y,Y,Drought,,Drought,years,Regional/Continent,undefined,40.13333,-8.8333,Europe,Portugal,2005,estuary,Mondego Estuary,22005,none,months,years,N,<1 sq m,Y,1-10 sq m,Yes with a non-statistical context-specific definition,,community composition,mesoplankton,multiple trophic levels,non-directional change,small - sig,sig,N,,,,,,,,,,,,,,,"This study assessed mesoplankton abundance/density in a PCA, hence the multidirectional and small-sig distinctions",Everything looks good for this entry,
20,Y,Y,Drought,,Drought,years,Regional/Continent,undefined,40.13333,-8.8333,Europe,Portugal,2005,estuary,Mondego Estuary,22005,none,months,years,N,<1 sq m,Y,1-10 sq m,Yes with a non-statistical context-specific definition,,density,mesoplankton,multiple trophic levels,unspecified/unclear,unspecified/unclear,no response,N,,,,,,,,,,,,,,,,,
20,Y,Y,Drought,,Drought,years,Regional/Continent,undefined,40.13333,-8.8333,Europe,Portugal,2005,estuary,Mondego Estuary,22005,none,months,years,N,<1 sq m,Y,1-10 sq m,Yes with a non-statistical context-specific definition,,abundance,mesoplankton,multiple trophic levels,non-directional change,small - sig,sig,N,,,,,,,,,,,,,,,,,
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,occupancy rate,vertebrates,primary consumers,multidirectional,large - sig not tested,no response,N,air,temperature,,,,,N,,,,,,,,"three of the frog species were resilient to the flood (occupied 60% of sites post flood), three species were not resilient (occupied 20% of sites or less post flood) - hence multi-directional","I might suggest changing community composition to species evenness  (overall diversity did not decrease, no species went extinct, but abundance of some groups decreased). I may not be adept at interpreting models like this, but since there were no p-values or hypothesis-testing reported, I wouldn't classify the results as ÒsignificantÓ - I might also suggest downgrading from ÒextremeÓ to large because of the multi directionality of the results (some species were not affected by the flooding).
I added physical variables measured in the study- although they were used more as covariates than responses. Slope was the most important physical parameter - I used channel form to indicate this, but there could be a more specififc descriptor.",
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,species evenness,vertebrates,primary consumers,decrease,large - sig not tested,no response,N,water,temperature,,,,,N,,,,,,,,,,
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,colonization rate,vertebrates,primary consumers,multidirectional,large - sig not tested,no response,N,landforms/topography,channel form,channel depth,increase,large - non-sig,not sig,N,,,,,,,,,,
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,extinction rate,vertebrates,primary consumers,multidirectional,large - sig not tested,no response,N,,,,,,,,,,,,,,,,,
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,percent cover,vegetation,primary producers,decrease,large - sig not tested,no response,N,,,,,,,,,,,,,,,,,
22,Y,Y,Drought,,Drought,years,Regional/Continent,decades,30.81666667,-84.61666667,N. America,USA,11998,stream/river,Dry Creek Catchment,122001,none,months,years,N,1-10 sq m,Y,1-10 sq m,Yes with a statistical context-specific definition,,taxonomic richness,invertebrates,multiple trophic levels,decrease,large - sig,sig,N,,,,,,,,,,,,,,,The responses were interpreted from a recovery time series after a major drought (the first measurement was during the drought and the subsequent ones were after); not sure this interpretation is appropriate,"Ya, they say the drought ends in 2002 (no month stated), but their first sampling is Dec 2001 and they frame it as a post-drought analysis; they also measure water temperature, conductivity, and nutrient concentrations- do we want to include these? (Table 2); so since this a recovery thing, is that why the responses are ""decreased"" instead of ""increased""- for example, they saw taxa richness increase after the drought, so the effect of the drought is that it decreased? Maybe we should check in with the group about this. DO NOT USE RESPONSE VARIABLES BECAUSE THESE ARE INTERPRETED AS RECOVERY IN RESPONSE TO EXTREME EVENT. DESCRIPTIVE ATTRIBUTES ARE STILL USE-ABLE.",
22,Y,Y,Drought,,Drought,years,Regional/Continent,decades,30.81666667,-84.61666667,N. America,USA,11998,stream/river,Dry Creek Catchment,122001,none,months,years,N,1-10 sq m,Y,1-10 sq m,Yes with a statistical context-specific definition,,abundance,invertebrates,multiple trophic levels,decrease,large - sig,sig,N,,,,,,,,,,,,,,,The responses were interpreted from a recovery time series after a major drought (the first measurement was during the drought and the subsequent ones were after); not sure this interpretation is appropriate,DO NOT USE RESPONSE VARIABLES BECAUSE THESE ARE INTERPRETED AS RECOVERY IN RESPONSE TO EXTREME EVENT. DESCRIPTIVE ATTRIBUTES ARE STILL USE-ABLE.,
22,Y,Y,Drought,,Drought,years,Regional/Continent,decades,30.81666667,-84.61666667,N. America,USA,11998,stream/river,Dry Creek Catchment,122001,none,months,years,N,1-10 sq m,Y,1-10 sq m,Yes with a statistical context-specific definition,,taxonomic community structure,invertebrates,multiple trophic levels,less similar,unspecified/unclear,no response,N,,,,,,,,,,,,,,,The responses were interpreted from a recovery time series after a major drought (the first measurement was during the drought and the subsequent ones were after); not sure this interpretation is appropriate,DO NOT USE RESPONSE VARIABLES BECAUSE THESE ARE INTERPRETED AS RECOVERY IN RESPONSE TO EXTREME EVENT. DESCRIPTIVE ATTRIBUTES ARE STILL USE-ABLE.,
22,Y,Y,Drought,,Drought,years,Regional/Continent,decades,30.81666667,-84.61666667,N. America,USA,11998,stream/river,Dry Creek Catchment,122001,none,months,years,N,1-10 sq m,Y,1-10 sq m,Yes with a statistical context-specific definition,,phenotypic diversity,invertebrates,multiple trophic levels,no response,no response,no response,N,,,,,,,,,,,,,,,The responses were interpreted from a recovery time series after a major drought (the first measurement was during the drought and the subsequent ones were after); not sure this interpretation is appropriate,DO NOT USE RESPONSE VARIABLES BECAUSE THESE ARE INTERPRETED AS RECOVERY IN RESPONSE TO EXTREME EVENT. DESCRIPTIVE ATTRIBUTES ARE STILL USE-ABLE.,
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,density,submerged aquatic vegetation,primary producers,decrease,large - sig,sig,N,water,temperature,,increase,large - sig,sig,Y,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period","That use of temperature data seems fine, but maybe we should have a way to identify whether these types of data were collected specifically by authors, or accessed from other sources? Not sure if it matters...",
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,biomass,submerged aquatic vegetation,primary producers,decrease,large - sig,sig,N,,,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",,
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,abundance,invertebrates,multiple trophic levels,decrease,large - sig,sig,N,,,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",,
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,species richness,invertebrates,multiple trophic levels,multidirectional,no response,no response,N,,,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",,
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,diversity,invertebrates,multiple trophic levels,multidirectional,no response,no response,N,,,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",,
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,12014,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,biomass,epiphytes,multiple trophic levels,decrease,large - sig,sig,N,,,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",,
24,N,Y,Climate System,ENSO,Streamflow,months,Regional/Continent,years,38,-122,N. America,USA,11982,estuary,San Francisco Bay,11975,years,months,years,Y,<1 sq m,Y,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,water,sediment transport,total suspended solids,decrease,large - sig,sig,Y,,,,,,,,"The authors presented discharge data, which peaked in the El Nino year (1982-83) but they did not analyze or use discharge as a response variable, so I didn't include it. ","I changed the PhysicalResponseCategory to water from sediment and PhysicalResponseMeasured from turbidity to sediment transport; A point for discussion: While sediment transport/TSS decreased following the high flow periods in 1982-1983, it probably spiked during those high flows; so should the response be increase followed by decrease? The difference is in the immediate vs. longer-term effects",
25,Y,Y,Weather System,,Flood,months,>1000 sq m,undefined,41.0358324¡N,-95.8794538¡W,N. America,USA,62011,stream/river,Missouri River,82011,none,months,months,N,100-1000 sq m,Y,100-1000 sq m,No - extreme event not mentioned but inferred,,stomach fullness,fish,secondary consumers,increase,large - sig,sig,,,,,,,,,,,,,,,,"This study investigated the effect of flooding and floodplain connectivity on the diet of flathead catfish. In the flood year, they had less catches (hypothesized that fish were more spread out) but average catch size was larger and a larger proportion of catches had full stomachs. Additionally, the size at which fish switched from a invertebrate diet to a vertebrate diet was smaller during the flood year. The flood was described as ""record flooding"" and ""unprecedented precipitation"" but was not directly referred to as an extreme event. ","I agreed with the assessment of the 1st reader, though I added GPS coordinates for the study site at Schilling NE",
25,Y,Y,Weather System,,Flood,months,>1000 sq m,undefined,41.0358324¡N,-95.8794538¡W,N. America,USA,62011,stream/river,Missouri River,82011,none,months,months,N,100-1000 sq m,Y,100-1000 sq m,No - extreme event not mentioned but inferred,,biomass,fish,secondary consumers,increase,large - sig,sig,,,,,,,,,,,,,,,,,,
25,Y,Y,Weather System,,Flood,months,>1000 sq m,undefined,41.0358324¡N,-95.8794538¡W,N. America,USA,62011,stream/river,Missouri River,82011,none,months,months,N,100-1000 sq m,Y,100-1000 sq m,No - extreme event not mentioned but inferred,,diet,fish,secondary consumers,non-directional change,large - non-sig,not sig,,,,,,,,,,,,,,,,,,
26,N,Y,Precipitation,,Flood,months,>1000 sq m,months,42.594042,-96.709481,N. America,USA,22011,floodplain,"Missouri River, Nebraska",62011,none,months,none,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,fish,multiple trophic levels,unspecified/unclear,unspecified/unclear,no response,Y,,,,,,,,,,,,,,,"Didn't measure responses before and after event because they were measuring fish abundance in floodplain environments; not sure if we can count the presence ot fish in areas where they weren't before as an increase in abundance? They don't show this change explicitly, but it is inferred","I think we leave the as unspecified/unclear since it wasn't explicitly stated. Another possibility is to view this through the lens of how the fish community changes across different habitats in a floodplain during a flood (there is also some physical habitat data - water depth, temp., velocity - that could be extracted). But this too may be too much inference on our part...",
26,N,Y,Precipitation,,Flood,months,>1000 sq m,months,42.594042,-96.709481,N. America,USA,22011,floodplain,"Missouri River, Nebraska",62011,none,months,none,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,taxonomic community structure,fish,multiple trophic levels,unspecified/unclear,unspecified/unclear,no response,Y,,,,,,,,,,,,,,,,,
27,Y,Y,Cyclone/Typhoon,,Flood,months,>1000 sq m,years,24.434201,120.924825,Asia,Taiwan,92004,stream/river,Cijiawan Stream,62004,months,months,months,Y,100-1000 sq m,N,>1000 sq m,Yes with a non-statistical general definition,,behavior - movement,birds,secondary consumers,increase,large - sig not tested,no response,N,,,,,,,,,,,,,,,,Found an increase in bird movement following typhoon events and a decrease in invertebrate density in streams in Taiwan. Classified any type of typhoon as an 'extreme event' and compared to years w/o typhoon's as 'normal' years.,
27,Y,Y,Cyclone/Typhoon,,Flood,months,>1000 sq m,years,24.434201,120.924825,Asia,Taiwan,82012,stream/river,Cijiawan Stream,62011,months,months,months,Y,100-1000 sq m,N,>1000 sq m,Yes with a non-statistical general definition,,behavior - movement,birds,secondary consumers,increase,large - sig,sig,N,,,,,,,,,,,,,,,,,
27,Y,Y,Cyclone/Typhoon,,Flood,months,>1000 sq m,years,24.434201,120.924825,Asia,Taiwan,82012,stream/river,Cijiawan Stream,62011,months,months,months,Y,100-1000 sq m,N,>1000 sq m,Yes with a non-statistical general definition,,density,invertebrates,primary consumers,decrease,large - sig,sig,N,,,,,,,,,,,,,,,,,
27,Y,Y,Cyclone/Typhoon,,Flood,months,>1000 sq m,years,24.434201,120.924825,Asia,Taiwan,82013,stream/river,Cijiawan Stream,62011,months,months,months,Y,100-1000 sq m,N,>1000 sq m,Yes with a non-statistical general definition,,behavior - movement,birds,primary consumers,increase,large - sig,sig,N,,,,,,,,,,,,,,,,,
27,Y,Y,Cyclone/Typhoon,,Flood,months,>1000 sq m,years,24.434201,120.924825,Asia,Taiwan,82013,stream/river,Cijiawan Stream,62011,months,months,months,Y,100-1000 sq m,N,>1000 sq m,Yes with a non-statistical general definition,,density,invertebrates,primary consumers,decrease,large - sig,sig,N,,,,,,,,,,,,,,,,,
29,N,Y,Volcano,Lusi Mud Volcano,Flood,years,Regional/Continent,undefined,7.527778,112.711667,Pacific,Indonesia,52006,catchment/watershed,Brantas River,1991,years,years,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),TSS/sediment,increase,large - non-sig,not sig,,,"I almost wonder if ""flood"" is the right kind of event for a mud volcano - maybe a landslide would be better? The authors note that discharge was not affected by the mud, whereas in other flood papers discharge would be the major factor affected.",
29,N,Y,Volcano,Lusi Mud Volcano,Flood,years,Regional/Continent,undefined,7.527778,112.711667,Pacific,Indonesia,52006,catchment/watershed,Brantas River,1991,years,years,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),C-POC,increase,large - non-sig,not sig,,,,
29,N,Y,Volcano,Lusi Mud Volcano,Flood,years,Regional/Continent,undefined,7.527778,112.711667,Pacific,Indonesia,52006,catchment/watershed,Brantas River,1991,years,years,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Gas,concentration (mass/volume - 1 sample),DO,decrease,large - non-sig,not sig,,,,
29,N,Y,Volcano,Lusi Mud Volcano,Flood,years,Regional/Continent,undefined,7.527778,112.711667,Pacific,Indonesia,52006,catchment/watershed,Brantas River,1991,years,years,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NO3 (includes NO3+NO2),decrease,large - non-sig,not sig,,,,
29,N,Y,Volcano,Lusi Mud Volcano,Flood,years,Regional/Continent,undefined,7.527778,112.711667,Pacific,Indonesia,52006,catchment/watershed,Brantas River,1991,years,years,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NO2,no response,no response,no response,,,,
29,N,Y,Volcano,Lusi Mud Volcano,Flood,years,Regional/Continent,undefined,7.527778,112.711667,Pacific,Indonesia,52006,catchment/watershed,Brantas River,1991,years,years,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NH4,increase,large - non-sig,not sig,,,,
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,annual abundance,fish,secondary consumers,multidirectional,large - sig,sig,N,,,,,,,,,,,,,,,,,
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,annual biomass,fish,secondary consumers,multidirectional,no response,no response,N,air,temperature,,multidirectional,,,Y,,,,,,,,,"I would change 'sampling before/after the extreme event ' from non to years because they used 9-25 years of monitoring data (depending on the site) - so for the majority/all sites they would have years of data before and after extremes. I would also think about changing ""continous monitoring prior"" to Y. Temp and streamflow data were continous and electrofishing was part of a continous monitoring program, even if discrete samples.",
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,annual Year of Young,fish,secondary consumers,multidirectional,large - sig,sig,N,water,streamflow,,multidirectional,,,Y,,,,,,,,,"I would recommend changing summer/annnual biomass, eveness, etc. to just biomass, eveness (i.e. drop summer/annual). The biological variables were only measured once a year, but were modeled twice- using the severity index for the year and the severity index for the summer.",
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,annual richness,fish,secondary consumers,multidirectional,no response,no response,N,,,,,,,,,,,,,,,,,
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,annual evenness,fish,secondary consumers,multidirectional,large - sig,sig,N,,,,,,,,,,,,,,,,,
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,summer abundance,fish,secondary consumers,multidirectional,large - sig,sig,N,,,,,,,,,,,,,,,,,
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,summer biomass,fish,secondary consumers,multidirectional,large - sig,sig,N,,,,,,,,,,,,,,,,,
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,summer Year of Young,fish,secondary consumers,multidirectional,large - sig,sig,N,,,,,,,,,,,,,,,,,
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,summer richness,fish,secondary consumers,multidirectional,no response,no response,N,,,,,,,,,,,,,,,,,
30,Y,Y,Precipitation,,Streamflow,days,>1000 sq m,years,43.614449,-79.444039,N. America,Canada,71960,stream/river,,71960,years,years,none,Y,100-1000 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,summer evenness,fish,secondary consumers,multidirectional,large - sig,sig,N,,,,,,,,,,,,,,,,,
31,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-0.847837,-90.803862,S. America,Ecuador,92015,coastal ocean,Galapagos Marine Reserve,12013,years,months,years,Y,10-100 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,infection rate,vertebrates,multiple trophic levels,increase,extreme - non-sig,not sig,Y,water,temperature,,increase,extreme - non-sig,not sig,Y,,,,,,,,,,
31,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-0.847837,-90.803862,S. America,Ecuador,92015,coastal ocean,Galapagos Marine Reserve,12013,years,months,years,Y,10-100 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,abundance,vertebrates,primary consumers,decrease,extreme - sig,sig,Y,,,,,,,,,,,,,,,,,
31,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-0.847837,-90.803862,S. America,Ecuador,92015,coastal ocean,Galapagos Marine Reserve,12013,years,months,years,Y,10-100 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,biomass,algae-micro,primary producers,decrease,large - non-sig,not sig,Y,,,,,,,,,,,,,,,,,
32,Y,Y,Drought,,Drought,months,>1000 sq m,years,33.3444,-81.7412,N. America,USA,1989,wetland,Savannah River Site,71993,single sample,none,years,N,>1000 sq m,Y,>1000 sq m,Yes with a non-statistical general definition,,population size structure,amphibians,secondary consumers,,large - sig,sig,N,,,,,,,,,,,,,,,"They sampled around 3 different droughts (1989-1990, 2001-2002, 2011-2013). field measures of popns were from different times since droughts, but not chronological- they pieced together the times from samples post-different droughts.","I would argue that they did make a climate linkage. There's a paragraph in the intro that talks about droughts and climate change. -- Agree, changed! -Jenna",No
33,Y,Y,Weather System,,Waves,hours,,days,-21.694433,-41.023902,S. America,Brazil,72013,marine intertidal,Grussa’ Beach,72013,days,single sample,weeks,N,<1 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,species richness,invertebrates,multiple trophic levels,multidirectional,large - sig,sig,N,water,wave height,,increase,small - sig,sig,N,,,,,,,,"Note the authors were comparing responses of urbanized and non-urbanized beaches; they found significant increases in the biological response variables at the non-urbanized beaches but no response at the urbanized beaches. They also measured responses after 2 separate extreme events (storms). After the second event, all responses were non-significnat. My interpretation is therefore that the biological responses were ""multi-directional"" and ""large-sig"" since some significant responses were measured. ","I suggest changing the response for both wave height and wave period to increase and decrease, respectively (see Tables 1 & 3 and first paragraph of Results for Scenarios 1 and 2). I think their p-values and Dunn test indicate differences in pre vs. during event heights and periods. Changed!",
33,Y,Y,Weather System,,Waves,hours,,days,-21.694433,-41.023902,S. America,Brazil,72013,marine intertidal,Grussa’ Beach,72013,days,single sample,weeks,N,<1 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,density,invertebrates,multiple trophic levels,multidirectional,large - sig,sig,N,water,wave period,,decrease,small - sig,sig,N,,,,,,,,,,
33,Y,Y,Weather System,,Waves,hours,,days,-21.694433,-41.023902,S. America,Brazil,72013,marine intertidal,Grussa’ Beach,72013,days,single sample,weeks,N,<1 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,diversity,invertebrates,multiple trophic levels,multidirectional,large - sig,sig,N,water,swash zone,,multidirectional,small - sig,sig,N,,,,,,,,,"It seems like there was a sig. difference in swash zone pre vs. during event for urbanized sites, but not non-urbanized sites (see Tables 1 & 3). Not sure how to report this; multi-directional as you did (I think) for the biological responses? Response: changed to multidirectional",
33,Y,Y,Weather System,,Waves,hours,,days,-21.694433,-41.023902,S. America,Brazil,72013,marine intertidal,Grussa’ Beach,72013,days,single sample,weeks,N,<1 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,taxonomic community structure,invertebrates,multiple trophic levels,no response,,,N,water,swash time,,no response,,,N,,,,,,,,,"I'm confused about the macrofauna association pattern. Is this a measure of community composition? They test whatever MAP is and show that there are non-directional differences (pre vs post-event 1) at the urbanized sites in 2013 (Table 2) and no differences in 2014 at either site. Variable response in community composition or whatever MAP represents? Or how to report this? Note, I believe this would be different than your reponse for taxonomic composition. Maybe?  Response: added another community composition variable",
33,Y,Y,Weather System,,Waves,hours,,days,-21.694433,-41.023902,S. America,Brazil,72013,marine intertidal,Grussa’ Beach,72013,days,single sample,weeks,N,<1 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,community composition,invertebrates,multiple trophic levels,non-directional change,small - sig,sig,N,sediment,sediment - organic matter,,no response,,,N,,,,,,,,,,
33,Y,Y,Weather System,,Waves,hours,,days,-21.694433,-41.023902,S. America,Brazil,72013,marine intertidal,Grussa’ Beach,72013,days,single sample,weeks,N,<1 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,sediment,sediment - grain size,,no response,,,N,,,,,,,,,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,years,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,water,turbidity,secchi depth,decrease,extreme - sig,sig,Y,water quality,,combined response,decrease,extreme - non-sig,no response,Y,"""Water quality"" response included secchi depth, salinity, and total nitrogen in a combined response variable developed from a principle components analysis; water quality responses had pre-storm sampling data; biological responses did not",,
